"","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
"1","1",1.12260534858754,1.22873441902732,0.26408548103213,0.607327165376642,1,"A1BG"
"2","10",0,-0.399843666772083,0,1,1,"NAT2"
"3","100",-1.63311514352214,1.41342449224218,0.941543232335474,0.331881277565195,0.973339431282212,"ADA"
"4","1000",1.89917730775125,6.8441281396504,2.52483759409468,0.112066318086118,0.636581845300226,"CDH2"
"5","10000",1.00960653875988,7.31054479843857,0.788026666014669,0.374697486091058,1,"AKT3"
"6","100008587",0,-0.399843666772083,0,1,1,"RNA5-8SN5"
"7","100008588",0,-0.399843666772083,0,1,1,"RNA18SN5"
"8","100008589",0,-0.399843666772083,0,1,1,"RNA28SN5"
"9","100009601",0,-0.399843666772083,0,1,1,"TRY-GTA7-1"
"10","100009602",0,-0.399843666772083,0,1,1,"TRY-GTA5-4"
"11","100009605",0,-0.399843666772083,0,1,1,"TRF-GAA2-1"
"12","100009606",0,-0.399843666772083,0,1,1,"TRF-GAA1-4"
"13","100009607",3.73019096340321,0.105324047509256,0.716655307734757,0.397243225170604,1,"TRH-GTG1-6"
"14","100009613",0,-0.399843666772083,0,1,1,"LINC02584"
"15","100009676",4.36935899785169,0.668216554671318,1.23294981053434,0.266834136242978,0.902695558619894,"ZBTB11-AS1"
"16","10001",0.823854418180323,3.42691919234928,0.54376619365011,0.460876071175134,1,"MED6"
"17","10002",4.54375727001243,0.445822213099715,1.11845176336884,0.290252073710688,0.932009472301919,"NR2E3"
"18","10003",1.40695616013431,2.09992338579791,0.699326629195841,0.403010049124846,1,"NAALAD2"
"19","100033411",-0.640352239745636,1.08432952707231,0.108904857285937,0.741394401321049,1,"DUXB"
"20","100033413",0.92537585464329,6.33601254557449,0.58729824802351,0.443465775255579,1,"SNORD116-1"
"21","100033414",1.71861774708157,6.62804639918227,1.91591422125569,0.166307774634417,0.755845685594671,"SNORD116-2"
"22","100033415",1.91806292717258,7.22590248677301,2.25683182980369,0.133025960215876,0.683920139537981,"SNORD116-3"
"23","100033416",4.77677470710171,0.646349000765329,1.4820493064857,0.223454164364227,0.844659465960023,"SNORD116-4"
"24","100033417",0.668802851621725,5.13340761788902,0.396160242817069,0.529078959826443,1,"SNORD116-5"
"25","100033418",2.08561380660733,6.1987917360398,2.81954018686032,0.0931230768528452,0.605556461798253,"SNORD116-6"
"26","100033419",0.467439471472053,5.15279667779545,0.18092822627418,0.67057674817198,1,"SNORD116-7"
"27","100033420",2.01400264191966,8.38688970913587,2.07611533023726,0.149620533011091,0.720931251219431,"SNORD116-8"
"28","100033421",1.62852305216983,7.31632627741564,1.64574003663982,0.199539728003577,0.81101401260151,"SNORD116-9"
"29","100033422",0,-0.399843666772083,0,1,1,"SNORD116-10"
"30","100033423",4.97027180089603,0.677286783071139,0.7065002507221,0.40060809783017,1,"SNORD116-11"
"31","100033424",5.07686081141765,0.735928468304752,0.69478305947906,0.404542234063628,1,"SNORD116-12"
"32","100033425",5.86129946722522,1.15796666078793,2.29049654690888,0.130168273727791,0.6789803129267,"SNORD116-13"
"33","100033426",2.23119371828299,4.66064518320405,3.05692188616872,0.0803938315688867,0.568180452636468,"SNORD116-14"
"34","100033427",1.74001100359333,7.50204191625969,1.71504774877335,0.190331758504596,0.797331949822265,"SNORD116-15"
"35","100033428",1.42646971257524,7.77961886917744,1.24038224664921,0.265397398292378,0.901029060895126,"SNORD116-16"
"36","100033429",1.6043697678302,5.22180967698495,1.67595722501513,0.195462509456702,0.806098292195781,"SNORD116-17"
"37","100033430",0.986001164892593,1.91079418238557,0.382063138599914,0.53650114255996,1,"SNORD116-18"
"38","100033431",1.92453588211117,6.31262988265251,2.185726594292,0.139295314206441,0.699804277175871,"SNORD116-20"
"39","100033432",2.15944203211775,5.14912230784328,3.21978233191416,0.0727533037346561,0.54340076112257,"SNORD116-21"
"40","100033433",1.80733325093783,6.78566887946674,1.9114593673297,0.166801239860346,0.75655120750705,"SNORD116-22"
"41","100033434",2.18835695815596,4.71897421174475,2.85754378615533,0.0909462737676877,0.599120876909275,"SNORD116-23"
"42","100033435",1.30049829522729,7.74030303036635,1.04262356768413,0.307212083564369,0.946884274497062,"SNORD116-24"
"43","100033436",1.18444476597627,2.92148419782916,0.475562804581244,0.490439088239065,1,"SNORD116-25"
"44","100033437",-0.0401274943600442,2.04161350384169,0.00065968840043551,0.979509066795197,1,"SNORD115-2"
"45","100033438",3.01088617189048,3.47257422663434,3.55259926564777,0.0594522509598517,0.492084374562738,"SNORD116-26"
